sample_id,task_id,domain,condition,total_tokens,AS_private,AS_public,AS_ratio,AE,AE_norm,LP_private,AS_WHAT,AS_WHY,AS_WHO,AS_WHEN,AS_WHERE,AS_HOW_TO_DO,AS_HOW_MUCH,AS_HOW_FEEL
BZ01__FULL__open_weight_qwen_main,BZ01,business,FULL,205,0.0836,0.0678,1.2343,2.8196,0.9399,0.3691,0.2432,0.1774,0.0497,0.1371,0.0569,0.0678,0.1175,0.1505
BZ01__PRIV-ABSENT__open_weight_qwen_main,BZ01,business,PRIV-ABSENT,186,0.0609,0.0907,0.6714,2.6367,0.9392,0.4636,0.2702,0.1909,0.0609,0.1508,0.0698,0.0907,0.0,0.1667
BZ01__PUB-ABSENT__open_weight_qwen_main,BZ01,business,PUB-ABSENT,170,0.0926,0.0,,2.6569,0.9464,0.3541,0.2652,0.1791,0.0583,0.1452,0.068,0.0,0.1269,0.1573
BZ02__FULL__open_weight_qwen_main,BZ02,business,FULL,204,0.0879,0.0767,1.146,2.5374,0.9038,0.3904,0.0,0.3286,0.0897,0.101,0.0742,0.0767,0.0861,0.2436
BZ02__PRIV-ABSENT__open_weight_qwen_main,BZ02,business,PRIV-ABSENT,176,0.0984,0.0915,1.0753,2.3698,0.9168,0.177,0.0,0.3535,0.0,0.1095,0.1124,0.0915,0.0984,0.2347
BZ02__PUB-ABSENT__open_weight_qwen_main,BZ02,business,PUB-ABSENT,167,0.0995,0.0,,2.3554,0.9112,0.3673,0.0,0.3598,0.1083,0.1152,0.09,0.0,0.0906,0.236
BZ05__FULL__open_weight_qwen_main,BZ05,business,FULL,200,0.1137,0.0814,1.3978,2.6804,0.9548,0.3884,0.0,0.2559,0.0829,0.0903,0.1449,0.0814,0.1446,0.2
BZ05__PRIV-ABSENT__open_weight_qwen_main,BZ05,business,PRIV-ABSENT,181,0.1041,0.1135,0.9175,2.4772,0.9583,0.5164,0.0,0.2823,0.1041,0.1107,0.1695,0.1135,0.0,0.2199
BZ05__PUB-ABSENT__open_weight_qwen_main,BZ05,business,PUB-ABSENT,169,0.1254,0.0,,2.4975,0.9662,0.372,0.0,0.2637,0.0966,0.1066,0.1643,0.0,0.1542,0.2147
BZ09__FULL__open_weight_qwen_main,BZ09,business,FULL,224,0.0696,0.0533,1.307,2.6204,0.8735,0.3269,0.3355,0.2236,0.0446,0.0662,0.0499,0.0533,0.0947,0.1321
BZ09__PRIV-ABSENT__open_weight_qwen_main,BZ09,business,PRIV-ABSENT,200,0.105,0.0623,1.6863,2.5102,0.8942,0.1484,0.3329,0.2313,0.0,0.0752,0.0528,0.0623,0.105,0.1405
BZ09__PUB-ABSENT__open_weight_qwen_main,BZ09,business,PUB-ABSENT,184,0.0751,0.0,,2.4897,0.8868,0.2778,0.3448,0.2129,0.0492,0.0725,0.0575,0.0,0.101,0.1621
TC01__FULL__open_weight_qwen_main,TC01,technical,FULL,211,0.0732,0.043,1.7017,2.617,0.8723,0.3236,0.3707,0.1555,0.0509,0.0858,0.0515,0.043,0.0955,0.147
TC01__PRIV-ABSENT__open_weight_qwen_main,TC01,technical,PRIV-ABSENT,194,0.0592,0.0552,1.0725,2.4233,0.8632,0.373,0.4039,0.1666,0.0592,0.0938,0.0627,0.0552,0.0,0.1585
TC01__PUB-ABSENT__open_weight_qwen_main,TC01,technical,PUB-ABSENT,166,0.0831,0.0,,2.5193,0.8974,0.286,0.3685,0.1589,0.0584,0.0946,0.0622,0.0,0.1077,0.1497
TC02__FULL__open_weight_qwen_main,TC02,technical,FULL,218,0.1508,0.0628,2.4026,2.755,0.9183,0.0,0.234,0.06,0.2053,0.0738,0.0518,0.0628,0.0963,0.216
TC02__PRIV-ABSENT__open_weight_qwen_main,TC02,technical,PRIV-ABSENT,189,0.1093,0.0743,1.4703,2.6375,0.9395,0.3177,0.2417,0.0674,0.0,0.0948,0.1697,0.0743,0.1093,0.2428
TC02__PUB-ABSENT__open_weight_qwen_main,TC02,technical,PUB-ABSENT,176,0.161,0.0,,2.6211,0.9337,0.0,0.2482,0.0711,0.2131,0.0882,0.0608,0.0,0.109,0.2096
TC08__FULL__open_weight_qwen_main,TC08,technical,FULL,217,0.0906,0.1408,0.6436,2.6704,0.9512,0.3354,0.0,0.1481,0.0907,0.0829,0.1582,0.1408,0.0906,0.2887
TC08__PRIV-ABSENT__open_weight_qwen_main,TC08,technical,PRIV-ABSENT,184,0.1046,0.1667,0.6271,2.4618,0.9524,0.4941,0.0,0.1537,0.1046,0.0917,0.1697,0.1667,0.0,0.3136
TC08__PUB-ABSENT__open_weight_qwen_main,TC08,technical,PUB-ABSENT,181,0.1064,0.0,,2.4525,0.9487,0.2697,0.0,0.1724,0.1122,0.1063,0.1945,0.0,0.1005,0.314
TC10__FULL__open_weight_qwen_main,TC10,technical,FULL,234,0.1063,0.074,1.4368,2.6244,0.8748,0.0,0.3843,0.0567,0.1332,0.095,0.0412,0.074,0.0794,0.1361
TC10__PRIV-ABSENT__open_weight_qwen_main,TC10,technical,PRIV-ABSENT,197,0.1423,0.0971,1.4659,2.4669,0.8787,0.0,0.4002,0.0617,0.1423,0.1037,0.0528,0.0971,0.0,0.1421
TC10__PUB-ABSENT__open_weight_qwen_main,TC10,technical,PUB-ABSENT,195,0.1137,0.0,,2.4284,0.865,0.0201,0.4199,0.0621,0.1347,0.0989,0.0503,0.0,0.0927,0.1413
TR01__FULL__open_weight_qwen_main,TR01,travel,FULL,484,0.1373,0.0814,1.6856,2.6311,0.9372,0.681,0.0,0.2194,0.1367,0.0838,0.0656,0.0814,0.1379,0.2752
