sample_id,task_id,domain,condition,total_tokens,AS_private,AS_public,AS_ratio,AE,AE_norm,LP_private,AS_WHAT,AS_WHY,AS_WHO,AS_WHEN,AS_WHERE,AS_HOW_TO_DO,AS_HOW_MUCH,AS_HOW_FEEL,model_tag,priv_span_len,pub_span_len
TR08__FULL__open_weight_qwen_main,TR08,travel,FULL,574,0.0861,0.0535,1.6088,2.4757,0.8252,0.6676,0.4534,0.1245,0.0809,0.0572,0.0377,0.0535,0.0913,0.1015,qwen3_8b,123,65
TR08__PRIV-ABSENT__open_weight_qwen_main,TR08,travel,PRIV-ABSENT,494,0.1807,0.1205,1.5002,2.4817,0.9601,0.542,0.0,0.2706,0.0,0.1251,0.0857,0.1205,0.1807,0.2174,qwen3_8b,86,65
TR08__PUB-ABSENT__open_weight_qwen_main,TR08,travel,PUB-ABSENT,502,0.0936,0.0,,2.3481,0.8364,0.6905,0.463,0.1285,0.0922,0.064,0.0485,0.0,0.0951,0.1088,qwen3_8b,123,0
BZ01__FULL__open_weight_qwen_main,BZ01,business,FULL,217,0.1014,0.0743,1.3639,2.6535,0.8845,0.4569,0.3258,0.0674,0.0574,0.0731,0.042,0.0743,0.1453,0.2147,gemma3_4b,33,30
BZ01__PRIV-ABSENT__open_weight_qwen_main,BZ01,business,PRIV-ABSENT,198,0.0649,0.094,0.6901,2.4188,0.8616,0.3161,0.3933,0.0799,0.0649,0.0855,0.056,0.094,0.0,0.2264,gemma3_4b,21,30
BZ01__PUB-ABSENT__open_weight_qwen_main,BZ01,business,PUB-ABSENT,180,0.1104,0.0,,2.4643,0.8778,0.4484,0.3479,0.0719,0.0591,0.0785,0.0512,0.0,0.1618,0.2296,gemma3_4b,33,0
BZ02__FULL__open_weight_qwen_main,BZ02,business,FULL,225,0.1155,0.0978,1.1804,2.5098,0.894,0.434,0.0,0.0926,0.108,0.092,0.084,0.0978,0.1229,0.4026,gemma3_4b,45,32
BZ02__PRIV-ABSENT__open_weight_qwen_main,BZ02,business,PRIV-ABSENT,189,0.1316,0.1022,1.288,2.3397,0.9051,0.337,0.0,0.0967,0.0,0.0939,0.1777,0.1022,0.1316,0.3979,gemma3_4b,22,32
BZ02__PUB-ABSENT__open_weight_qwen_main,BZ02,business,PUB-ABSENT,186,0.1241,0.0,,2.3066,0.8923,0.4108,0.0,0.1079,0.1186,0.1047,0.109,0.0,0.1297,0.4301,gemma3_4b,45,0
BZ05__FULL__open_weight_qwen_main,BZ05,business,FULL,213,0.1688,0.1091,1.5477,2.5617,0.9125,0.4575,0.0,0.0798,0.1094,0.0836,0.0667,0.1091,0.2282,0.3234,gemma3_4b,33,25
BZ05__PRIV-ABSENT__open_weight_qwen_main,BZ05,business,PRIV-ABSENT,194,0.1406,0.156,0.9012,2.3626,0.914,0.3541,0.0,0.0998,0.1406,0.1116,0.0998,0.156,0.0,0.3921,gemma3_4b,21,25
BZ05__PUB-ABSENT__open_weight_qwen_main,BZ05,business,PUB-ABSENT,181,0.1862,0.0,,2.3416,0.9058,0.4508,0.0,0.088,0.1208,0.0984,0.0859,0.0,0.2516,0.3553,gemma3_4b,33,0
